sr no,Timestamp,ID,Age,Are you practicing yoga/meditation everyday?,Is practicing yoga/meditation necessary?,"According to you, how much time one should take out from regular routine for practicing yoga?",What do you think are the benefits of practicing yoga on regular basis? ,Are you working from office/home or attending online lectures?,For how many hours you have to work and use laptop/phone? (put  No if not applicable),Do you feel stressed due to work load?,What do you think? will Meditation help you in reducing the stress?
1,9/23/2020 11:34:10,ab12,19,No,Maybe,1hr,Patience of a person increases,Yes,8hrs,Yes,Maybe
2,9/23/2020 11:35:38,at13,20,Yes,Yes,About 1 hour atleast,"It helps us in reducing stress, and helps in living healthy and cheerful life.",Yes,More than 8 hours,Sometimes,Yes
3,9/23/2020 11:38:04,mm31,19,No,Yes,2 hours,"Focus, Peace of mind, clears your head.",Yes,5 hours,Yes,Yes it will! 
4,9/23/2020 11:38:37,wr34,19,Sometimes,Yes,15 min,Find Inner peace ,Yes,10 hrs,Yes,Yes
5,9/23/2020 11:40:38,mt56,19,No,Yes,1hr,it helps to stay healthy,Yes,5,Yes,no
6,9/23/2020 11:40:57,by67,22,No,Yes,1 hr, Maintain Good Health ,Yes,3 hr,Sometimes,Yes definitely 
7,9/23/2020 11:42:15,rs24,19,No,Yes,1 hour ,"Better Health, calmness, peace",Yes,10,Sometimes,Yes it will
8,9/23/2020 11:55:09,vt90,24,Sometimes,Yes,Atleast an hour for the yoga ,Whenever I do yoga I feel energetic.,No,9028414855,No,Yes. Definitely
9,9/23/2020 11:57:45,ni99,20,Sometimes,Yes,Everyday,"It relaxes mind, improves health issues",Yes,5 hours,Sometimes,Calm my mind
10,9/23/2020 11:58:45,ap67,20,No,Yes,30 min,-,Yes,3-4 hrs,Yes,Yes
11,9/23/2020 11:59:54,sp89,20,No,Yes,One hour,Mental and physical health will be benefited,Yes,8to9 hours,Sometimes,Yes definitely
12,9/23/2020 12:02:37,jd56,20,Sometimes,Yes,At least 20 minutes,"It focuses on mental health ,sharpens one's mind. It keeps me motivated and helps to stay focused.",Yes,Around 4 hrs,Sometimes,Certainly yes
